DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;CAP;NC2R_CA_P3;NC2R_CJ_P4_S1A2;NC2R_CA_P4_S1;NC2R_CA_P5_S1;NC2R_CA_P6_S1;NC2R_CA_P7_S1;NC2R_CA_P8_S1;FEX_C
153675;1;1;1;J1; ; ; ; ; ; ; ;700,534368201935
153676;1;1;1;J1; ; ; ; ; ; ; ;470,926926249849
153677;1;1;2;J1;11110404;1;5;3; ;2400; ;533,165893614112
153691;1;1;1;J1; ; ; ; ; ; ; ;422,72219810687
153692;1;1;1;J1; ; ; ; ; ; ; ;425,795397711966
153693;1;1;1;J1;11110102;2;1;3; ;5000; ;342,184895724863
153693;2;1;2;J1;11110103;2;1;3; ;5000; ;342,184895724863
153694;1;1;1;J1; ; ; ; ; ; ; ;454,093600388966
153695;1;1;1;J1; ; ; ; ; ; ; ;324,75035032647
153696;1;1;1;J1; ; ; ; ; ; ; ;373,501048420271
153697;1;1;1;J1; ; ; ; ; ; ; ;442,170705197031
153698;1;1;1;J1; ; ; ; ; ; ; ;324,75035032647
153699;1;1;1;J1; ; ; ; ; ; ; ;262,72120108565
153700;1;1;1;J1; ; ; ; ; ; ; ;358,383682980202
153701;1;1;1;J1; ; ; ; ; ; ; ;361,982965132212
153702;1;1;1;J1;11110101;1;2;3; ;9000; ;464,779849294297
153702;2;1;2;J1;11110102;2;3;3; ;18000; ;464,779849294297
153704;1;1;1;J1;11110201;4;1;3; ;1000; ;373,501048420271
153704;2;1;2;J1;11110301;4;1;3; ;1000; ;373,501048420271
153704;3;1;3;J1;11110402;4;1;3; ;3000; ;373,501048420271
153704;4;1;4;J1;11110405;4;2;3; ;2100; ;373,501048420271
153706;1;1;1;J1; ; ; ; ; ; ; ;726,324308422868
153707;1;1;1;J1; ; ; ; ; ; ; ;563,014019736501
153714;1;1;1;J1; ; ; ; ; ; ; ;275,862564093605
153716;1;1;1;J1; ; ; ; ; ; ; ;291,179935040509
153717;1;1;1;J1; ; ; ; ; ; ; ;303,16533619937
153718;1;1;1;J1; ; ; ; ; ; ; ;356,560397753471
153719;1;1;1;J1; ; ; ; ; ; ; ;327,243663955938
153720;1;1;1;J1; ; ; ; ; ; ; ;399,661511496514
153721;1;1;1;J1; ; ; ; ; ; ; ;294,633228708553
153722;1;1;1;J1; ; ; ; ; ; ; ;373,501048420271
153723;1;1;1;J1; ; ; ; ; ; ; ;419,597901606746
153724;1;1;1;J1; ; ; ; ; ; ; ;478,431305897299
153726;1;1;1;J1; ; ; ; ; ; ; ;586,086073926901
153727;1;1;1;J1; ; ; ; ; ; ; ;338,67902276595
153728;1;1;1;J1; ; ; ; ; ; ; ;748,580140127346
153729;1;1;1;J1; ; ; ; ; ; ; ;913,797355559077
153730;1;1;1;J1; ; ; ; ; ; ; ;1139,47330184851
153731;1;1;1;J1; ; ; ; ; ; ; ;894,90002883779
153732;1;1;1;J1; ; ; ; ; ; ; ;684,648046177743
153733;1;1;1;J1; ; ; ; ; ; ; ;700,534368201935
153747;1;1;1;J1; ; ; ; ; ; ; ;1235,77974646362
153748;1;1;1;J1; ; ; ; ; ; ; ;361,462324060924
153749;1;1;1;J1; ; ; ; ; ; ; ;221,191134703464
153750;1;1;1;J1; ; ; ; ; ; ; ;293,176253187203
153751;1;1;1;J1;11110201;4;1;3; ;700; ;212,951241984581
153752;1;1;1;J1; ; ; ; ; ; ; ;409,512399749903
153753;1;1;1;J1; ; ; ; ; ; ; ;347,953128292528
153754;1;1;1;J1; ; ; ; ; ; ; ;487,434821595791
153755;1;1;1;J1; ; ; ; ; ; ; ;426,868171272309
156233;1;1;1;J1; ; ; ; ; ; ; ;500,080394984224
156234;1;1;1;J1; ; ; ; ; ; ; ;373,641968716526
156235;1;1;1;J1; ; ; ; ; ; ; ;784,968656597428
156236;1;1;1;J1; ; ; ; ; ; ; ;546,081281301052
156259;1;1;1;J1; ; ; ; ; ; ; ;679,909421280164
156261;1;1;1;J1; ; ; ; ; ; ; ;373,641968716526
156262;1;1;1;J1;11110101;1;1;3; ;3500; ;775,128749269242
156262;2;1;2;J1;11110102;2;1;3; ;3500; ;775,128749269242
156262;3;1;3;J1;11110103;3;1;3; ;3500; ;775,128749269242
156282;1;1;1;J1; ; ; ; ; ; ; ;657,977071782996
156284;1;1;1;J1; ; ; ; ; ; ; ;452,430846440094
156285;1;1;1;J1; ; ; ; ; ; ; ;268,143768464391
156286;1;1;1;J1; ; ; ; ; ; ; ;412,904854700371
156288;1;1;1;J1; ; ; ; ; ; ; ;259,698884781427
156306;1;1;1;J1; ; ; ; ; ; ; ;399,24669908365
156308;1;1;1;J1; ; ; ; ; ; ; ;338,67902276595
156309;1;1;1;J1; ; ; ; ; ; ; ;612,967819011544
156310;1;1;1;J1; ; ; ; ; ; ; ;804,719862096503
156311;1;1;1;J1; ; ; ; ; ; ; ;684,648046177743
156312;1;1;1;J1; ; ; ; ; ; ; ;684,648046177743
157337;1;1;1;J1; ; ; ; ; ; ; ;550,695331910871
157339;1;1;1;J1; ; ; ; ; ; ; ;548,559072298295
157340;1;1;1;J1; ; ; ; ; ; ; ;495,862144442452
157342;1;1;1;J1; ; ; ; ; ; ; ;270,412697148375
157343;1;1;1;J1; ; ; ; ; ; ; ;270,412697148375
157344;1;1;1;J1; ; ; ; ; ; ; ;416,427732583397
157428;1;1;1;J1; ; ; ; ; ; ; ;607,945323689018
157429;1;1;1;J1; ; ; ; ; ; ; ;611,976185466168
157430;1;1;1;J1; ; ; ; ; ; ; ;621,792637350087
157434;1;1;1;J1; ; ; ; ; ; ; ;728,943690046434
157436;1;1;1;J1;11110101;1;5;3; ;21000; ;534,621331630844
157436;2;1;2;J1;11110102;2;4;3; ;21000; ;534,621331630844
157436;3;1;3;J1;11110103;3;5;3; ;21000; ;534,621331630844
157438;1;1;1;J1; ; ; ; ; ; ; ;621,792637350087
157439;1;1;1;J1; ; ; ; ; ; ; ;442,314968888701
157440;1;1;1;J1; ; ; ; ; ; ; ;375,171584052165
157449;1;1;1;J1; ; ; ; ; ; ; ;548,559072298295
162391;1;1;1;J1; ; ; ; ; ; ; ;795,180125596217
162405;1;1;1;J1; ; ; ; ; ; ; ;1354,7160910638
162406;1;1;1;J1; ; ; ; ; ; ; ;700,534368201935
162427;1;1;1;J1; ; ; ; ; ; ; ;673,257039021465
162428;1;1;1;J1; ; ; ; ; ; ; ;678,215836874593
162429;1;1;1;J1; ; ; ; ; ; ; ;678,215836874593
162430;1;1;1;J1; ; ; ; ; ; ; ;543,306401152635
162432;1;1;1;J1; ; ; ; ; ; ; ;543,306401152635
162434;1;1;1;J1; ; ; ; ; ; ; ;487,278218742999
162467;1;1;1;J1; ; ; ; ; ; ; ;636,14414168158
162468;1;1;1;J1; ; ; ; ; ; ; ;648,098968043119
162469;1;1;1;J1; ; ; ; ; ; ; ;684,648046177743
