"DIRECTORIO";"Gto_CapC"
134281;26000
134282;9200
134284;77000
134285;97300
134286;32000
134288;76000
134289;70600
134292;121500
134294;25400
134295;37000
134296;66133.3333333333
134297;1000
134298;32200
134302;34500
134303;11200
134304;30000
134308;34400
134311;37066.6666666667
134318;209900
134319;66300
134320;66000
134322;81800
134324;83500
134326;82200
134327;59500
134329;241400
134330;30100
134331;18800
134332;124000
134335;71500
134336;8000
134337;73000
134342;31000
134348;25000
134350;41600
134351;294600
134358;50000
134359;43000
134366;2200
134367;3000
134371;55100
134374;4200
134375;10000
134378;10800
134382;25000
134383;32500
134388;42500
134389;9700
134391;15400
134392;16200
134393;19500
134394;8400
134398;20000
134399;93200
134401;289100
134402;149900
134406;29000
134418;131700
134419;36000
134420;10000
134421;141000
134422;161700
134423;399300
134424;28333.3333333333
134425;38700
134426;101000
134432;195200
134433;22500
134436;8000
134437;30000
134438;20000
134439;31000
134442;30000
134447;44000
134448;59000
134450;8300
134452;61200
134455;3000
134456;50000
134458;112400
134459;48000
134461;33800
134463;19600
134464;74500
134465;37000
134466;43316.6666666667
134467;14000
134470;78700
134471;30000
134472;330750
134474;128900
134475;16000
134477;96000
134478;74800
134484;43000
134486;14000
134487;37000
134488;253200
134490;5300
134491;1500
134492;34700
134494;75000
134496;6400
134501;1000
134503;27000
134511;233100
134512;37000
134516;204200
134518;15000
134519;17500
134520;10000
134527;20000
134540;114300
134544;60000
134580;13700
134597;76000
134607;112000
134712;22900
134713;7500
134714;91100
134717;90600
134734;17000
134824;16000
134886;21800
135052;11300
135055;25000
135059;3400
135060;54400
135084;18600
135179;38700
135226;31500
135227;21000
135248;19100
135249;36600
135250;15000
135251;125000
135263;10000
135266;38600
135267;87400
135268;402100
135271;44500
135276;503000
135277;38000
135278;213000
135279;207700
135280;14000
135281;4000
135282;10000
135283;220000
135285;57000
135287;42000
135288;13100
135290;39300
135293;93500
135294;8000
135295;144000
135296;28000
135297;21800
135299;174366.666666667
135300;110200
135302;74700
135305;145000
135306;13000
135309;122100
135311;170000
135312;70000
135313;16200
135315;73000
135316;17000
135317;1000
135318;7000
135319;20000
135321;326800
135322;66200
135323;161700
135324;185200
135325;88650
135326;169000
135327;104500
135328;5000
135329;261900
135331;23300
135332;25800
135333;32700
135334;43800
135335;40900
135336;4500
135337;233700
135338;75000
135339;42000
135340;207400
135341;123200
135343;25000
135344;36000
135347;11100
135350;3000
135351;335300
135353;27000
135355;90700
135356;95000
135357;10500
135358;22300
135359;20000
135361;18200
135362;13100
135363;1200
135364;6500
135367;2000
135368;3000
135369;20000
135373;20000
135376;35000
135378;20000
135379;700
135380;208900
135381;12000
135382;18000
135384;23200
135385;20000
135386;23000
135387;20000
135388;20100
135395;112000
135396;186000
135399;162400
135402;4500
135406;254000
135415;13000
135416;160350
135422;15000
135425;1209
135431;2000
135432;116000
135433;20000
135436;1000
135437;2000
135438;1000
135439;19200
135440;10000
135441;5000
135442;14200
135443;19700
135445;6000
135449;149400
135450;17000
135451;5000
135453;35000
135454;89100
135457;2200
135458;206900
135459;30000
135460;21000
135461;121700
135462;332700
135465;110500
135467;30000
135480;10000
135486;28000
135487;15000
135489;23500
135491;258600
135492;15000
135495;22166.6666666667
135496;121900
135497;11000
135498;18000
135499;87400
135500;25600
135501;173000
135502;316200
135503;37600
135504;186900
135507;146000
135508;46400
135509;12000
135514;20200
135519;93300
135521;98000
135524;30000
135533;399600
135536;67500
135547;24500
135548;24000
135549;94900
135563;301500
135564;17000
135566;14000
135567;39500
135570;1200
135571;70000
135572;54300
135573;91000
135575;6000
135576;3200
135579;11500
135580;15000
135581;13000
135582;5700
135583;7400
135584;13100
135585;6700
135586;900
135587;9700
135588;3000
135589;37500
135591;31600
135592;391000
135593;204300
135594;41500
135595;236500
135596;17000
135597;22100
135598;173700
135599;111100
135600;180100
135601;34400
135602;35400
135603;69190
135604;34100
135605;29700
135606;23950
135607;140800
135608;221098
135609;167200
135610;21333.3333333333
135611;107900
135613;15400
135614;156600
135615;48750
135616;66300
135617;72300
135618;28000
135619;198500
135620;111800
135621;45000
135622;28500
135623;492000
135624;197800
135625;10000
135627;23000
135628;8000
135630;16600
135631;48000
135632;188000
135633;77500
135634;70100
135635;51800
135636;58350
135637;422150
135638;77300
135640;50000
135643;55000
135644;18250
135645;47000
135647;28000
135651;53200
135653;26500
135655;133400
135656;18300
135658;135300
135659;30100
135660;148000
135661;37200
135662;77000
135663;97000
135664;90766.6666666667
135665;113000
135666;220000
135668;478000
