"DIRECTORIO";"Viajes";"Servicios"
120027;1e+05;81900
120029;0;59100
120031;0;0
120032;0;0
120033;5e+05;78600
120034;0;66400
120035;0;39740
120036;0;26000
120037;0;130343
120038;0;100481
120039;0;0
120048;5e+05;120222
120049;3e+05;83777
120053;150000;68993
120055;0;63869
120056;0;94661
120060;0;88460
120061;99;134000
120062;0;171727
120063;0;91000
120064;0;0
120065;0;118459
120066;0;60500
120067;0;91000
120068;0;55100
120069;0;149587
120070;0;61759.5238095238
120072;0;302000
120073;120000;76219
120076;0;20000
120077;0;24500
120080;0;31200
120082;0;0
120083;0;67300
120086;0;0
120089;0;61000
120092;0;191000
120095;0;0
120098;0;675918
120105;150000;166232
120107;1500000;357395
120112;0;152100
120113;0;126130
120115;0;91790
120121;0;53487
120123;0;163619
120125;0;111815
120127;0;75144
120129;0;50000
120130;0;66488
120132;0;116123
120133;0;105000
120134;0;90580
120138;0;168631
120139;0;102768
120141;0;73200
120142;0;75400
120147;0;0
120148;0;216533
120149;0;222741
120150;0;229000
120151;0;16109
120153;0;0
120154;0;46000
120157;0;0
120161;0;209548
120167;4e+05;45000
120168;0;0
120169;0;30000
120170;0;263000
120171;0;165000
120173;0;41219
120174;0;404000
120175;0;140000
120176;0;0
120177;0;80000
120178;0;0
120179;3e+05;506269
120180;0;500661
120181;0;256750
120182;0;96000
120183;0;213700
120184;0;216581
120185;0;79150
120186;0;137500
120187;0;105800
120188;0;0
120189;0;0
120190;0;170000
120191;0;165000
120192;0;196000
120193;0;245000
120194;0;116000
120195;0;266502
120196;0;60000
120197;0;301500
120198;0;64500
120199;0;52000
120200;9e+05;727595
120201;3e+06;235485
120210;0;72500
120211;0;132500
120213;0;60120
120214;0;77000
120215;0;32000
120216;0;110000
120217;0;112000
120219;0;0
120220;0;103370
120221;0;39000
120222;0;85000
120224;0;81550
120225;0;5000
120226;0;306000
120228;0;140087
120229;0;95000
120230;0;0
120231;0;0
120232;0;470083
120233;2e+05;119388
120234;0;261000
120235;250000;220835
120236;0;73818
120237;3e+05;263000
120238;0;96000
120239;4e+05;122000
120240;0;0
120242;2e+06;274582
120243;0;135000
120245;0;308750
120246;250000;99700
120258;50000;36000
120259;0;18700
120260;4e+05;206500
120261;0;68000
120262;0;59200
120263;0;145000
120264;0;0
120268;0;42120
120276;450000;120000
120277;0;80000
120278;0;131000
120280;0;0
120282;80000;135563
120287;0;205000
120288;0;10000
120289;0;302212
120290;0;82359
120291;0;53787
120292;0;57581
120293;150000;41374
120296;0;104000
120299;0;160000
120301;0;89600
120302;0;115200
120304;0;151280
120307;0;290000
120311;0;32000
120312;0;64700
120313;0;39900
120314;0;150000
120315;0;86500
120318;0;161027
120321;2e+05;216055
120327;0;91200
120330;150000;32318
120331;0;96000
120332;3e+05;83000
120333;5e+05;34500
120334;0;114000
120335;0;127000
120336;0;86500
120337;0;66088
120338;0;55700
120340;50000;66550
120341;0;150000
120342;0;73200
120343;0;100316
120344;0;131994
120345;0;194598
120346;0;165358
120347;0;255443
120348;0;171753
120349;0;251334
120350;480000;356800
120351;0;460000
120354;0;475000
120356;0;486200
120360;0;449000
120362;0;668000
120363;0;116989
120364;0;135300
120365;0;121990
120366;0;125215
120367;0;136450
120368;0;146000
120369;0;160908
120371;0;80100
120372;0;77000
120373;0;269825
120374;0;212000
120375;0;122520
120376;0;55000
120377;0;152313
120378;0;133000
120379;0;222635
120380;0;183547
120381;0;35813
120382;0;132000
120383;0;113025
120384;0;78855
120385;0;95808
120386;6e+05;107262
120389;0;20000
120393;0;65000
120394;0;40000
120397;0;70000
120398;0;32000
120399;0;28000
120401;5e+05;140000
120402;5e+05;0
120403;3e+06;270000
120406;0;29000
120407;0;136000
120408;0;124000
120409;0;103000
120410;0;20750
120411;0;231955
120412;0;1e+05
120415;3e+06;1038000
120417;0;1414000
120418;0;477000
120420;0;264466
120423;450000;349000
120425;0;74000
120426;0;266000
120428;1e+05;60000
120429;0;75000
120431;0;53826
120432;0;34059
120433;150000;192420
120434;0;68600
120436;0;114303
120440;0;37120
120443;0;299038
120448;0;325040
120450;50000;194804
120451;0;480000
120459;0;193211
120460;0;162000
120466;1e+06;90000
120468;0;0
120471;0;6333
120474;0;25679
120475;0;5700
120476;0;30267
120477;0;65557
120478;0;58300
120480;0;8200
120481;0;21512
120482;0;0
120483;0;186749
120484;140000;397054
120485;530000;200265
120487;0;0
120488;0;228242
120489;0;340520
120490;4e+05;200029
120491;0;12306
120494;8e+05;147000
120497;0;255000
120501;0;258789
120503;0;155904
120504;0;318876
120505;0;64798
120506;0;200742
120507;0;256000
120509;0;21624
120510;0;77000
120512;0;80000
120513;0;219442
120514;2e+05;374320
120515;0;230960
120517;0;0
120520;0;47600
120521;0;151700
120522;0;66500
120524;4e+05;199549
120525;0;204760
120526;0;257861
120532;8e+06;241167
120537;4500000;88040
120538;0;160036
120543;0;156375
120544;5e+05;70912
120546;0;104361
120548;0;13500
120551;3e+05;163296
120552;0;181060
120559;0;63068
120562;0;154173
120563;0;136210
120564;0;0
120567;0;35000
120570;0;10280
120576;0;279000
120578;0;0
120579;0;28000
120581;1e+06;609000
120582;150000;82953
120584;0;0
120585;7e+05;305000
